name,status,location,price,score,cuisines
Row 34,OPERATIONAL,Woods Corner Burlington ,★★★,9.697022332506204,American New England Seafood
Trattoria Rosa Bianca,, Yardley United States,★★,9.692928039702233,
Morimoto,, Philadelphia ,★★★★,9.688833746898263,Japanese Sushi
Charcoal BYOB,,Wilburtha Yardley ,★★,9.684739454094293,American
Byrne's Tavern,,Port Richmond Philadelphia ,★,9.680645161290322,
The Dubliner on the Delaware,, New Hope United States,★★,9.676550868486352,
Tacconelli's Pizza,,Port Richmond Philadelphia United States,★★,9.672456575682382,Pizza
Select Oyster Bar,OPERATIONAL,Back Bay West Boston ,★★★,9.668362282878412,American New England Seafood
The Yardley Inn Restaurant and Bar,,Wilburtha Yardley ,★★★,9.668362282878412,American
Gus & Gus Place,, Rehoboth Beach United States,★,9.660173697270471,
Chesapeake & Maine,, Rehoboth Beach United States,★★,9.656079404466501,Brewery Seafood
Landfall Restaurant,,Woods Hole Falmouth ,★★,9.651985111662531,Seafood
Saltie Girl,OPERATIONAL,Back Bay Boston ,★★★,9.64789081885856,American New England Seafood
Salt Air,,Spring Lake Rehoboth Beach ,★★,9.64379652605459,Seafood
Quinoa Peruvian & Mexican Restaurant,, Doylestown United States,★★,9.63970223325062,Mexican
Standard Tap,,Northern Liberties Philadelphia United States,★★,9.63560794044665,American Beer
Clinton St. Baking Company,OPERATIONAL,Lower East Side New York United States,★★,9.63560794044665,American
Tommy DiNic’s,,Center City Philadelphia ,★,9.62741935483871,Sandwiches
Slate Bleu,, Doylestown United States,,9.62741935483871,
John's Village Market,, Wayne United States,★,9.61923076923077,
The Bayside Skillet,, Ocean City United States,★★,9.615136476426798,
Isaac Newton's Bar & Restaurant,, Newtown United States,★★,9.615136476426798,
Engine No. 9,,The Edge District St. Petersburg ,★★,9.606947890818859,American Beer Burgers
Genevieve's Kitchen,, Doylestown United States,,9.602853598014889,
Cielo Restaurant,, Sanibel United States,★★★,9.598759305210919,
Portabellos of Kennett Square,, Kennett Square United States,★★★,9.594665012406947,
Back Porch Café,, Rehoboth Beach United States,★★★,9.590570719602978,
The Brewster Fish House,,Brewster Brewster ,★★★,9.586476426799008,Seafood
LMNO,,Fishtown Philadelphia United States,,9.582382133995036,Mexican
Beiler's Donuts,,Center City East Philadelphia United States,,9.582382133995036,American Breakfast Dessert Donuts
PIZZA Shackamaxon,,North Philadelphia Philadelphia ,★,9.574193548387097,Pizza
Dutch Eating Place,,Center City Philadelphia ,★,9.574193548387097,Breakfast Eastern European
Fishermen's View Seafood Market & Restaurant,, Sandwich United States,★★,9.566004962779157,Seafood
Bramble & Brine at the Buttery,,Lewes Historic District Lewes United States,,9.561910669975186,
Cornerstone Bistro & Artisanal Market,, Wayne United States,★★,9.561910669975186,Brunch Market Specialty Food
Beck's Cajun Cafe,,Center City East Philadelphia United States,★★,9.553722084367246,
Tony and Nick's Steaks,,South Philadelphia East Philadelphia ,★★,9.549627791563275,Burgers Sandwiches
Seven Stars Inn,, Phoenixville United States,★★★,9.545533498759305,
il Granaio,,Wilmer Phoenixville ,★★,9.545533498759305,Italian
Matt's Fish Camp Bethany,, Bethany Beach United States,★★,9.545533498759305,
Bluecoast Seafood Grill and Raw Bar,,White Creek Bethany Beach ,★★,9.533250620347395,Seafood
Tompkins Square Bagels,OPERATIONAL,East Village New York United States,★,9.529156327543424,Bagels
Liquid Assets,, Ocean City ,★★,9.525062034739454,American
Fins Fish House & Raw Bar,, Rehoboth Beach United States,★★,9.520967741935484,
Lumberville General Store,, Lumberville United States,★★,9.520967741935484,
The Chart Room,, Bar Harbor United States,★★,9.512779156327543,
Quahog's Seafood Shack and Bar,,Grassy Sound Stone Harbor United States,,9.508684863523573,Seafood
Blue Moon,, Rehoboth Beach United States,★★★,9.504590570719603,
Kimberton Inn,, Kimberton United States,★★★,9.504590570719603,
Atlantic Fish Company,OPERATIONAL,Back Bay Boston ,★★★,9.496401985111662,American Seafood
Maxwell's On Main,, Doylestown United States,★★,9.492307692307692,
Owen's Fish Camp,,Burns Square Sarasota United States,★★,9.492307692307692,Seafood
Crab & Fin Restaurant,,St. Armands Sarasota ,★★★,9.484119106699751,Seafood
STK Steakhouse Downtown NYC,OPERATIONAL,Meatpacking District New York United States,★★★★,9.480024813895781,American Steakhouse
The Black Dog Cafe,,Vineyard Haven Tisbury ,★★,9.475930521091811,
Montesano Bros Trattoria & Catering,, Chester Springs United States,★,9.471836228287842,
The Original Turkey,,Center City East Philadelphia United States,★,9.471836228287842,
Edmund's Oast Brewing Co.,,Wagener Terrace Charleston ,★,9.4636476426799,American Brewery Pizza
Leon's,,North-Central Charleston ,★★,9.45955334987593,American Seafood Southern
The Hattery Stove & Still,, Doylestown United States,★★,9.45955334987593,American
Talula's Garden,,Center City Philadelphia ,★★★,9.45136476426799,American Southern
Kensington Quarters,,Fishtown Philadelphia ,★★,9.45136476426799,American
75 Chestnut,,Beacon Hill Boston United States,★★,9.44317617866005,American Bar
Woods Hill Pier 4,,Seaport District Boston United States,,9.43908188585608,American
Mezcali,OPERATIONAL,Financial District New York United States,,6.7,Mexican
Magnolia Bakery,OPERATIONAL,West Village New York United States,★★,6.7,Bakery Dessert
Leroy’s,OPERATIONAL,Greenpoint New York United States,,6.7,American
